"Standard name","Hermes probability"
"S000000815",0.945
"S000000816",0.07
"S000007590",0.405
"S000000817",0.005
"S000000818",0.005
"S000000819",0.015
"S000000820",0.155
"S000000821",0.045
"S000002127",0.065
"S000000822",0
"S000000823",0.935
"S000000824",0.935
"S000000825",1
"S000000826",0
"S000000827",0.97
"S000000828",0.765
"S000000829",0
"S000000830",0
"S000000831",0.53
"S000000832",0.015
"S000000833",0.005
"S000000834",0
"S000000835",0
"S000000836",0
"S000000837",0
"S000000838",0.29
"S000000839",0.005
"S000000840",0.645
"S000028746",0
"S000000841",0
"S000007226",0.16
"S000000842",0
"S000000843",0
"S000000844",0.005
"S000000845",0.86
"S000000846",0.275
"S000001954",0
"S000000847",0
"S000000848",0
"S000000849",0
"S000000850",0.07
"S000007237",0.515
"S000000851",0
"S000000852",0.73
"S000000853",0
"S000000854",0
"S000000855",0
"S000007523",0.04
"S000000856",0
"S000000857",0
"S000000858",0
"S000002135",0
"S000000859",0.49
"S000000860",0.435
"S000000861",0.025
"S000000862",0
"S000002958",0.01
"S000000863",0.01
"S000000864",0
"S000000865",0.005
"S000000866",0
"S000000867",0
"S000000868",0
"S000000869",0
"S000000870",0.12
"S000000871",0
"S000000872",0.105
"S000000873",0.01
"S000000874",0
"S000000875",0
"S000000876",0.69
"S000007651",0.965
"S000000877",0
"S000000878",0.005
"S000000879",0.005
"S000000880",0
"S000028546",0.005
"S000000881",0.025
"S000000882",0
"S000000883",0
"S000000884",0.91
"S000000885",0.74
"S000000886",0
"S000000887",0.08
"S000000888",0.965
"S000000889",0.64
"S000002128",0.08
"S000000890",0.01
"S000000891",0.03
"S000000892",0
"S000000893",0
"S000000894",0.01
"S000000895",0.795
"S000002960",0.005
"S000000896",0.96
"S000000897",0.005
"S000000898",0
"S000000900",0
"S000000901",0
"S000000902",0.005
"S000000903",0
"S000000905",0.005
"S000000906",0.73
"S000000907",0
"S000000908",0.005
"S000000909",0.88
"S000000912",0.01
"S000000913",0.005
"S000000914",0.79
"S000000915",0
